product_id	name	sku	url
1122	Motor Controller 29	276-2193	https://www.vexrobotics.com/276-2193.html
1125	Flashlight	276-2210	https://www.vexrobotics.com/276-2210.html
1129	Tank Tread Upgrade Kit	276-2214	https://www.vexrobotics.com/276-2214.html
1133	Battery Strap (2-pack)	276-2219	https://www.vexrobotics.com/276-2219.html
1134	Booster Kit	276-2232	https://www.vexrobotics.com/276-2232.html
1141	Power Expander	276-2271	https://www.vexrobotics.com/276-2271.html
1152	Analog Accelerometer V1.0	276-2332	https://www.vexrobotics.com/276-2332.html
1172	VEX V5 Competition Qualifying Event Trophy Pack	276-7462	https://www.vexrobotics.com/276-7463.html
1177	Universal Joint (5-pack)	276-2723	https://www.vexrobotics.com/276-2723.html
1185	Robotics Engineering Notebook	276-3023	https://www.vexrobotics.com/276-3023.html
1196	Battery Extension Cable	276-3442	https://www.vexrobotics.com/276-3442.html
1213	License Plate Alphabet Sticker Sheet	276-3937	https://www.vexrobotics.com/276-3937.html
1214	VEX V5 Competition License Plate Kit	276-3938	https://www.vexrobotics.com/276-3938.html
1217	Battery Clip (4-pack)	276-4042	https://www.vexrobotics.com/276-4042.html
1219	Extension Cable Retaining Clip (10-pack)	276-4128	https://www.vexrobotics.com/276-4128.html
1226	Linear Motion Additional Truck Kit	276-4489	https://www.vexrobotics.com/276-4489.html
1295	Rubber Bands	rubber-bands	https://www.vexrobotics.com/rubber-bands.html
1300	Aluminum Structure	aluminum-kits	https://www.vexrobotics.com/aluminum-kits.html
1301	C-Channels (8-sizes)	CHAN-G	https://www.vexrobotics.com/channel.html
1304	Plates (2-sizes)	PLATE-G	https://www.vexrobotics.com/plates.html
1306	Gussets	gussets	https://www.vexrobotics.com/gussets.html
1308	#8-32 Nuts (4-choices)	NUT-G	https://www.vexrobotics.com/nuts-8-32.html
1309	#8-32 Couplers (2-sizes)	COUPLER-G	https://www.vexrobotics.com/couplers-8-32.html
1310	Advanced Gearbox Brackets	advanced-gearbox-brackets	https://www.vexrobotics.com/advanced-gearbox-brackets.html
1311	EDR 393 Motors & Servos	cortex-393	https://www.vexrobotics.com/393-motors.html
1313	Gears	gears	https://www.vexrobotics.com/gears.html
1315	High Strength Sprockets & Chain	hs-sprockets-and-chain	https://www.vexrobotics.com/hs-sprockets-and-chain.html
1321	Tools	Tools-G	https://www.vexrobotics.com/tools.html
1322	Zip Ties	zip-ties-g	https://www.vexrobotics.com/zip-ties.html
1323	Anti-Slip Mat (2-types)	MAT-G	https://www.vexrobotics.com/mat-g.html
1381	Drive Shafts	drive-shafts	https://www.vexrobotics.com/drive-shafts.html
1382	High Strength Shafts & Hardware	hs-hardware	https://www.vexrobotics.com/hs-hardware.html
1383	Batteries & Chargers	batteries-and-chargers	https://www.vexrobotics.com/batteries-and-chargers.html
1390	Extension Cables	extensioncables	https://www.vexrobotics.com/extension-cables.html
